FlorentineDrawings_Identifier,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
433FFol6-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,1957.11.29.66 ,,,,,,,,,433 F (Fol. 6),433FFol6,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Quarantuno schizzi dal vero di alberi e di paesi: Paesaggio montagnoso con un burrone e a destra, su una salita,  pellegrini verso una chiesa",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,, Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol12-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,1957.11.29.67 ,,,,,,,,,433 F (Fol. 12),433FFol12,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Paesaggio roccioso con due figure a sinistra ,Casolare ai piedi di una collina,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,, Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol21-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,H.M. Calmann,http://viaf.org/viaf/96176754/,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 21),433FFol21,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Sprone roccioso di montagna con alberi ed arbustri,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol23-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,H.M. Calmann,http://viaf.org/viaf/96176754/,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 23),433FFol23,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Villaggio su una collina ,Massi rocciosi,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol30-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,H.M. Calmann,http://viaf.org/viaf/96176754/,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 30),433FFol30,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,"Quarantuno schizzi dal vero di alberi e di paesi: Costruzioni ai lati di una strada, sulla cresta di una collina in basso altre costruzioni nella valle, circondate da alberi",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol34-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,H.M. Calmann,http://viaf.org/viaf/96176754/,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 34),433FFol34,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Rovine di arco romano presso altre costruzioni a sinistra in paesaggio roccioso,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol39-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,H.M. Calmann,http://viaf.org/viaf/96176754/,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 39),433FFol39,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Un albero di gelso ed un arbusto spinoso ,Albero spoglio,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol2-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,Count Antoine Seilern,http://viaf.org/viaf/814935,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 2),433FFol2,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Numerose figure che si avvicinano ad un villaggio di montagna,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A). Luisa Vertova mi ha segnalato che questo studio di paese e la variante sul Fol. 1, della quale ignoro l'attuale proprietario (vedi la riproduzione nel catalogo della Vendita Sotheby) servirono allo sfondo del ""Ratto di Dina"" nel Kunsthistorisches Museum di Vienna (n. 36), un dipinto eseguito dal Bugiardini su disegno di Fra Bartolommeo.",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol11-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,Count Antoine Seilern,http://viaf.org/viaf/814935,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 11),433FFol11,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Un albero in inverno,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol24-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,Count Antoine Seilern,http://viaf.org/viaf/814935,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 24),433FFol24,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Un villaggio nordico sulle sponde montagnose di un ruscello ,Un villaggio sulla riva di un fiume,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol28-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,Count Antoine Seilern,http://viaf.org/viaf/814935,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 28),433FFol28,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Sentiero fra rocce ,Tre case di un villaggio di montagna,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
433FFol31-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,,,,,,Count Antoine Seilern,http://viaf.org/viaf/814935,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,,433 F (Fol. 31),433FFol31,,,,Fra Bartolommeo,http://vocab.getty.edu/ulan/500115575,,Quarantuno schizzi dal vero di alberi e di paesi: Terrapieno spazzato dal vento,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Questi fogli, già ereditati da Fra Paolino da Pistoia alla morte del suo maestro, quindi appartenuti a Suor Plautilla Nelli e rimasti, alla morte di costei, nel Convento di Santa Caterina in Piazza San Marco a Firenze, furono acquistati nel 1725 insieme alle altre centinaia di disegni di Fra Bartolommeo, custoditi in quel Convento, dal Cavalier Francesco Maria Niccolò Gaburri. Ignorando l'attività di paesista del frate, Gaburri suppose che il loro autore fosse Andrea del Sarto e li fece rilegare in un volume a parte, mettendo nel frontespizio lo stemma della famiglia Gaburri e nella prima pagina il titolo ""Raccolta di Paesi e Vedute dal vero di mano di Andrea del Sarto"" e la data 1730. Dei 43 fogli costituenti questo taccuino, che chiameremo ""Taccuino Gaburri"", i primi 41 erano di Fra Bartolommeo, gli ultimi due di altra mano. In occasione della vendita Sotheby (Sotheby's sold, November 20th, 1957, nn. 1-41), il taccuino fu slegato ed i fogli furono venduti separatamente. Si conoscono i proprietari attuali dei fogli seguenti. Prima della scoperta del taccuino Gaburri, ora dissolto, gli unici tocchi in penna di Fra Bartolommeo con vedute di paesi che si conoscevano, erano i fogli agli Uffizi (BB n. 386); a Londra, nella raccolta Oppenheimer, ora Springell (BB n. 438.B); al Louvre (BB n. 495, foll. 17,18,19 del taccuino Bonnat); a Oxford (BB n. 463.A-3, A-4, A-5); a Stoccolma (BB nn. 506.C, 506.D recto, 506.E); a Vienna (BB n. 511.A).",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903.,See: if location is correct
