FlorentineDrawings_IdentifierBB1961,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0001509-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.551",http://collection.britishmuseum.org/id/object/716092,,,,,,,,1509,1509,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Leggero abbozzo per un nudo virile che si curva alzando le mani come per difendersi dalla minaccia di un colpo che gli giunga dall'alto,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,,,1509,1509,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Slight jotting of a nude,,,,1509,1509,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,,,,
0001504-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.553",http://collection.britishmuseum.org/id/object/716091,,,,,,,,1504,1504,743,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Gigante nudo disteso col volto girato verso una figuretta nuda che gli si avvicina,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian except words between []",,1504,1504,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Outline sketch for a giant reclining, and a smaller figure approaching him, doubtless a study for a Samson and Delilah",,"This rapid jotting dates, to judge by the style, from about 1530. The same subject is treated by a pupil in large red chalk drawing at Oxford (my 1718), but there the arrangement is somewhat different. It has not escaped me that the larger figure corresponds to a surprising degree with the Venus designed in 1531 by Michelangelo, and coloured by Pontormo, now in the Uffizi. It might be said that rather than for a Samson this was a sketch for that Venus. I should answer that in the sketch the figure is male, and, what is more important, that the smaller figure is stealthily approaching the larger, whereas the subject of Pontormo's picture being Venus embraced by Cupid, Michelangelo would not have failed, even in the earliest jotting down of the motive, to indicate this action. As a matter of fact the two motives have much in common. For Michelangelo every subject became a problem in pose and action. Poses and actions are as limited as the letters of the alphabet and like them suffice for all the needs of any one artist even if he is a Michelangelo. In this case the figures lend themselves almost as well to one interpretation as to the other. Cf. My 1718. A design, by the way, independent of the cartoon for the Pontormo painting and representing Venus breaking Cupid's bow may have existed and antedated the cartoon. This design is represented in several slightly differing versions of a picture by Allori. One at Montpellier, one at the Uffizi and another at Hampton Court. It must have been known to Lotto when he did his Rospigliosi Triumph of Chastity no later than 1528.",,1504,1504,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,"See column N ""except the word between []"""
0001488-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.554",http://collection.britishmuseum.org/id/object/716105,,,,,,,,1488,1488,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Torso e cosce di un piccolo nudo virile seduto perpendicolarmente ad esso, informe busto di giovane e, in direzione capovolta, un'anfora linee di scrittura per tutti i versi ",Trentuno linee di scrittura,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1488,1488,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Torso and legs only of a small nude figure seated vertically to the torso the bust of a youth as if in rough cast and opposite to last an urn. Also, in every direction, writing, most of it scratched out, and the rest of no interest",,"I have no idea of the purpose of these sketches. The nude might conceivably  be connected with the angels in the Creation of Adam, but this is not probable. It is of the exact kind of a nude for a Crucifixion at Christ Church (my 1574).",,1488,1488,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
0001487-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.555",http://collection.britishmuseum.org/id/object/716125,,,,,,,,1487,1487,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Due studi di un nudo virile appeso a un albero nello studio a sinistra egli si contorce ancora vivo, nell'altro abbandona la testa nella morte",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1487,1487,Michelangelo,http://vocab.getty.edu/ulan/500010654,,First sketch for the Haman in the Sixtine Ceiling,,"Perhaps the most rapid and spirited of all Michelangelo's drawings, surpassing even the earlier sketch (my 1585) for the bronze David, with which, by the way, it should be compared by any one inclined to doubt its authenticity. He might also look at the sheet (my 1481) with the nude youth on the obverse, and the putti on the reverse. An admirable bit of shorthand is the corkscrew scrawl which renders with the same stroke both the roundness and roughness of the tree-trunk. The action of the upper figure anticipates the Bound Captive (now in the Louvre), upon which Michelangelo was working two or three years later, in 1513. It also should be noticed how perfected already in this figure is Michelangelo's favourite attitude as it occurs so frequently later, one leg stretched out and the other bent at the knee as in the Tityus.",,1487,1487,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
0001513-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.556",http://collection.britishmuseum.org/id/object/716079,,,,,,,,1513,1513,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Nudo virile acefalo, seduto e visibile fino ai ginocchi, che punta l'indice sinistro verso una ferita nel costato e stende la mano destra come in atto di proteggere o di benedire il braccio destro e il ginocchio destro sono ripetuti a sinistra e in basso ","Torso arrovesciato all'indietro con la testa arretrata fra le braccia tese; in basso, ciò che sembra un pugno chiuso (ma è uno scorcio di testa disegnato in direzione opposta)",,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,Same as 1938,,1513,1513,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Rough large study, in little more than outline, of seated male figure, without head or feet. His right hand is held out as if in protection or blessing, his left touches a wound in his side ","Scrawl for torso of figure in action, with head thrown back between extended arms. Below a balled-up hand","The purpose of this uncouth sketch, is not clear. One feels that it must have been made with reference to the Last Judgement. But if for the Christ, as one is tempted to believe, it must have been for a softer conception than in the fresco and corresponding to the Bonnat drawing for the upper part of the composition (my 1395C). I cannot get over the feeling that the man who made this sketch was well acquainted with the famous Vatican torso",,1513,1513,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,"The purpose of this uncouth sketch is not clear. One feels that if by Michelangelo at all – and that is fairly to be assumed – it must have been made with reference to the Last Judgment. Bust surely not for the Christ, as one is tempted to believe. I cannot get over the feeling that the man who made this sketch was well acquainted with the famous Vatican Torso.",,,
0001490-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.557",http://collection.britishmuseum.org/id/object/716113,,,,,,,,1490,1490,626,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Tre volti satireschi, a sinistra, vago accenno di testa, probabilmente pure di Michelangelo nell'angolo inferiore destro, rapido schizzo per un Ercole e Anteo ","Due nudi atletici che guardano in su, alzando aste; a sinistra, vago schizzo di una figura in azione simile; in alto i contorni di uno scudo e in basso, in direzione perpendicolare, una testa",,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,black chalk,http://vocab.getty.edu/aat/300080058,,,,,"Same as 1938, in Italian",,1490,1490,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Three faces of satyrs. Studies doubtless for grotesque heads, such as we now see in the marbles at St. Lorenzo, but dating perhaps a few years earlier, and intended perhaps for the Tomb of Julius. Also a rapid sketch for a Hercules and Antaeus. On the left of the sheet is a vaguer indication of a head, probably also Michelangelo's ","Two athletic nudes looking up, to our left vague indication of a figure in similar action, and in black chalk other grotesque heads","As grotesque, these heads vie with any others, ancient - which inspired them - or modern. The way of mapping out the features should be compared with the stroke in the sketch for the slave, last catalogued. The shading is characteristic. The touch throughout is free and firm. Nevertheless, Morelli would ascribe this sheet to Bacchiacca! (Kunstchr., 1891-92, p. 212)","The nudes are among Michelangelo's noblest achievements, both as draughtsmanship and as design. They nearly face one another, starting forward with staves in their hands, each holding up an arm, and looking up as if to ward off an assault threatening them from above. The actual drawing is not infallibly correct, bust is of scarcely surpassable swiftness and vigour.",1490,1490,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
0001480-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.558",http://collection.britishmuseum.org/id/object/716121,,,,,,,,1480,1480,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Figura femminile, piuttosto informe, seduta all'indietro, con le braccia in due posizioni, strette al corpo o appoggiate a un parapetto",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1480,1480,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Reclining almost shapeless nude female,,"A blurred scrawl interesting chiefly as notation done perhaps in connection with lunettes of the Ceiling. To be compared with my 1463 verso, and probably of that date.",,1480,1480,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
0001499-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.559",http://collection.britishmuseum.org/id/object/716116,,,,,,,,1499,1499,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Cinque studi per strutture simili ad archi trionfali, forse per un altare monumentale, ma non direi per quello della Sagrestia Nuova di San Lorenzo ",Studio di panneggio per una figura seduta verso destra e vago accenno di testa in profilo a destra,,black chalk,http://vocab.getty.edu/aat/300080058,ink,http://vocab.getty.edu/aat/300015012,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,"Same as 1938, in Italian",versIl profilo non è certamente di Michelangelo. Il panneggio sembra suo.,1499,1499,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Several studies for structures like triumphal arches, conceivably, although not probably, for the altar in the New Sacristy of S. Lorenzo ",Cast of drapery for seated figure and a head in profile to right vaguely indicated,"Popp (M. K., pp, 169-170) makes the interesting suggestion that the drawings on recto may have served for the Tomb of Leo X in S. Maria Sopra Minerva.",,1499,1499,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,,,,
0001506-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.560/1",,,,,,,,,1506,1506,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Sezione di una trabeazione ,Capitelli con variazioni di motivi ornamentali,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,1506,1506,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Section of a cornice ,Bases and capitals,,,1506,1506,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,,,,
0001505-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.560/2",,,,,,,,,1505,1505,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Sezione di una cornice e capitello composito ,Colonne e trabeazioni,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,1505,1505,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Section of a cornice and capitals ,Columns and entablatures,,,1505,1505,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,,,,
0001680-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.561",http://collection.britishmuseum.org/id/object/716084,,,,,,,,1680,1680,724,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Giovane donna seduta in profilo a sinistra, con gli occhi fissi sulla rocca da filare che tiene nella mano destra",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1680,1680,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Young woman in profile to left, seated, with her eye fixed on distaff which she holds in right hand",,"The motive is excellent, and doubtless Michelangelo's, but the execution is by the hand that we know in the interesting sheet at Oxford (my 1555 verso) whereon we find one or two sketches by the master himself and the others by the so-called ""Andrea di Michelangelo"".",,1680,1680,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,"Same as 1938 and added: I know nothing further of this Andrea except that, to judge by the Oxford sheet and this spinner, he must have been under Michelangelo between 1500 and 1508.",,,
0001518-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.562",http://collection.britishmuseum.org/id/object/716020,,,,,,,,1518,1518,666,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Madonna - è difficile dire se nudo o drappeggiata - in piedi, ma leggermente piegata sui ginocchi, che tiene in collo il Bambino, il quale L'abbraccia con infinita tenerezza",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,Same as 1938,,1518,1518,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Study - it is hard to be sure whether of a nude or draped figure - for a Madonna bending slightly at knees, with the Child most fondly embracing her",,"This figure, as action no less than as draughtsmanship, bears considerable resemblance to the Mary in the Crucifixion (my 1530). being even looser in manner, it may be dated about 1550.",,1518,1518,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
0001478-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.563",http://collection.britishmuseum.org/id/object/716095,,,,,,,,1478,1478,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Torso virile quasi in profilo verso destra e il medesimo torso ripetuto a semplice contorno,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1478,1478,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Torso of figure standing and facing nearly to right, and the same in scrawled outline",,"This may be a study for the soldier in the Bathers who helps his friend to buckle his armour, or indeed for the Adam in the Sixtine fresco of the Temptation of Eve, and, at all events, is of that early period (much more probably the soldier).",,1478,1478,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,,,"Handwritten in BB_1938: ""much more probably the soldier"".",
0001479-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.564",http://collection.britishmuseum.org/id/object/671386,,,,,,,,1479,1479,534553,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Due acrobati ignudi che ne sorreggono un terzo pure ignudo, in piedi sulle loro mani perpendicolarmente ad essi un nudo di proporzioni quasi colossali, seduto con un fanciullo fra le ginocchia. Gli acrobati a carboncino, l'altro gruppo a penna veros: Ripetizione dell'acrobata a destra sul recto due putti, l'uno visto di fronte, l'altro da tergo, identici a quelli su BB n. 1481 verso e, in direzione opposta, uno splendido studio per l'écorché d'una gamba sinistra e sopra, un interessante quartina di un sonetto. L'acrobata a carboncino e il resto  a penna",,,black chalk,http://vocab.getty.edu/aat/300080058,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1479,1479,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Two nude acrobats holding erect in their hands a third, also nude at one side of the sheet an almost colossal nude with a child between his knees - a study for the Bruges Madonna ","A repetition of the acrobat on the recto, two putti exactly like those on the back of the drawing to be catalogued next, and in inverse direction a splendid study from the écorché of a left leg, and above it four lines of an interesting sonnet. These reprinted in Frey's Dichtungen, XXII. The acrobats and the nudes on the back are in black chalk, the remainder in ink","The sketch of the acrobats represents perhaps an earlier stage of a drawing in the Louvre, than which, however, it is much more spirited and prompt. A kindred motive occurs in the Oxford drawing (my 1564) for the Sixtine fresco of the Brazen Serpent. The proportion of the Madonna have already the heroic athletic character of the Last Judgement period and should serve as a warning against considering only one factor in the problem of dating drawings. But for the Child many students might have been tempted to assign this nude to the fourth rather than the first decade of the 16th century. As for the acrobats it now seems that they represent an earlier idea for the Bathers where two soldiers were to have held up a third who was to find out from which side the enemy was coming. Adolfo Venturi (M., pl. 45 and pl. 32) has before me reached this conclusion. Cf. Also my 1481 and 1598 as for same composition. In that case the study of a left leg which occurs on the recto of this sheet and on my 1598 would be for the right leg of the soldier who is being held up, only that it is reversed.",,1479,1479,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
0001508-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.565",http://collection.britishmuseum.org/id/object/715186,,,,,,,,1508,1508,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"In alto, una Madonna col Bambino benedicente disteso nel suo grembo e la testa girata in profilo verso sinistra ove è posato un libro di preghiere che Ella sfoglia con la mano destra in mezzo alla pagina un gruppo di nudi meditabondi accovacciati per terra in basso, un nudo virile, o piuttosto un écorché di un nudo, ritto sopra una sola gamba altri scarabocchi meno interessanti qua e là ","Atletico nudo femminile, in piedi e simile nudo semidisteso come in un sonno agitato; intorno, cinque teste, una o due delle quali vicine al grottesco",,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian except the last phrase: (BB n. 2252A), foglio che porta sull'altra faccia una figura allegorica, riferibile agli affreschi eseguiti a Careggi nel 1538-42.",,1508,1508,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Sheet with various studies. A rapid sketch for a Madonna, in profile, with the Cupid lying in her lap. She turns the pages of a prayer book with her right hand. Below, a group of nudes reclining and brooding ","Athletic female nude standing, another reclining as if in troubled sleep, and several heads, one or two of them approaching the grotesque. Still lower on the sheet is a nude, or rather an écorché, standing on one leg. There are several less interesting scrawls here and there","It is not impossible - for Michelangelo was a lifelong student of Dante, and is said even to have illustrated him - that these refer to the following lines in Purgatorio (canto IV, 103-108): ""ed ivi eran persone / Che si stavano all'ombra dietro al sasso, / Com'uom per negligenza a star si pone. / Ed un di lor che mi sembrava lasso, / Sedeva ed abbracciava le ginocchia, / Tenendo il viso giù tra esse basso.""","This side is, as draughtsmanship, more interesting than the other, although both doubtless were done at the same time. The date should be about 1535, as in the firm outlines in hard chalk there is considerable resemblance to the MALCOLM drawing for the Last Judgement (my 1536). The feeling for form is the same as in that famous fresco, with this striking difference, that here it is colossal but firm and alive, and there colossal but frequently lacking the breath of life. The verso, at all events, of this sheet seems for power and touch, to be among Michelangelo's masterpieces, and perhaps the last wherein his hand retains all its pristine vigour. A drawing of exactly the same type and spirit as the one on the recto, but done a little earlier, must have inspired Pontormo when he sketched the Madonna on the verso of the Hamburg drawing (my 2252A), an allegorical figure made for Castello, the date of which we know to have been between 1528 and 1532.",1508,1508,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,See column N
001680A-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.566",http://collection.britishmuseum.org/id/object/716096,,,,,,,,1680 A,1680A,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,Strage degli Innocenti ,"Studio di spalle nerborute, studi più leggeri di una spalla sinistra, di una spalla destra e di un braccio sinistro piegato",,metalpoint,http://vocab.getty.edu/aat/300404633,ink,http://vocab.getty.edu/aat/300015012,red chalk,http://vocab.getty.edu/aat/300080064,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,Copia di un allievo di Michelangelo da un affresco del Quattrocento;,Troppo timido per Michelangelo.,1680 A,1680A,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Muscular back and left shoulder, slighter study for a left shoulder and arm, a left arm bent and another study for a back neck and right shoulder",,,,,,,,,,,,,,
0001483-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.567",http://collection.britishmuseum.org/id/object/671387,,,,,,,,1483,1483,561,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Parte di un sistema decorativo che mostra, entro un pennacchio, una figura maschile, su un trono affiancato, alla sommità, da circoli iscritti in riquadri e sormontato d aun grande rombo con le quattro punte infilate in rotelle a destra, due studi di mani e due di braccia "," Studio di panni sulle ginocchia di una figura seduta e piccolo schizzo di giovane seduto, leggermente drappeggiato",,black chalk,http://vocab.getty.edu/aat/300080058,ink,http://vocab.getty.edu/aat/300015012,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,"Same as 1938, in Italian and added: Tolnay collega la mano sinistra con la lunetta di ""Manasses-Amon"" e (come il Thode) la mano destra e i due studi per il braccio destro con l'Ignudo sopra la Sibilla Persica.  Che siano aggiunte posteriori, non è improbabile.",,1483,1483,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Study for scheme of decoration. In a spandrel a throne where sits a male figure. To right and to left are circles framed in squares, and above the throne a diamond tipped with smaller circles. Part of sheet is taken up by two sketches of hands, one of a whole arm, and another of part of an arm ","Cast of drapery, and a youthful slightly draped figure done perhaps from the model, and probably intended for one on the Ceiling","Frey (see Text, p. 26) suggests that the hands and arms may be studies for the left arm of Adam in his Creation. In that case they would have been added later, which is not improbable. Although the intention of this study for decoration for the Sixtine Ceiling, which Michelangelo perhaps actually began, and then gave up as being ""too slight and mean."" Wölfflin was the first - and for some time the only one - to realize its purpose and importance. I refer the student to his brief but pithy article in the Jahr. Pr. K. S. (XIII, 1892, pp. 178-182), where he makes also a most interesting attempt to reconstruct the chapel as it would have looked if this scheme of decoration had been carried out.",,1483,1483,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,"Same as 1938 and added: Symonds, thereby giving a proof of his radical incompetence in matters artistic, so thoroughly misunderstood it as to suppose that it had some connection with the New Sacristy at S. Lorenzo. (…) The Hands and arms, although doubtless also drawn with reference to the Sixtine Ceiling, are not to be discovered there now. The nearest approaches to them will be found in the old man above Pope Pontianus, and in the woman of the triangle over this lunette.",,,I added two phrases in column Y and I separate them with (?) 
0001484-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.568",http://collection.britishmuseum.org/id/object/716120,,,,,,,,1484,1484,674562,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Torso virile ,"Tre giovani nudi seduti in pose contorte come tirassero corde; a sinistra, un nudo virile genuflesso che solleva il braccio destro ad arco sopra la sua testa",,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,1484,1484,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Three separate studies of beautiful nude youths sitting, of whom two are pulling at ribbons at one side a kneeling figure with his bent arm held up ",Male torso,"Manifestly studies for the various single figures of nudes in the Sixtine Ceiling, none of these three is to be found there exactly as it appears here. The nearest resemblance is between the uppermost one in the sketch and the youths in the monochrome space above the painted arch over Rehoboam. The kneeling figure should be compared with the Cupid at S. Kensington. It has a pentimento. At firs the nude was kneeling on both his knees, then on the right only. In going over with ink the kneeling on both knees was emphasized. Certainly this sketch is as close to the Cupid as any of the other figures on this sheet are to the Sixtine nudes. Yet I would not vouch for it that Michelangelo, while drawing it, had in mind the Cupid rather than one of the crouching or kneeling nudes in the Ceiling. One fact, at all events, is established by this leaf: that the Cupid belongs to the period and style of the Sixtine nudes","The male torso on the back of this leaf is unexpected. It is of a lifeless seated figure, the head, arms and legs slightly indicated - probably for a Dead Christ. If I had encountered this study by itself, it would scarcely have occurred to me question that I belonged to no earlier period than the Last Judgement. There is something of the late bravura in the forms and spirit, and there is also the loose, careless touch of later years. But at the same time it should be observed that in rapid and large chalk sketches Michelangelo differs little from epoch to epoch - too little, at all events, for ready distinction - so that it is probable that this almost Baroque sketch was done at the same time as the exquisite flowers of Quattrocento art on the other side. A careful comparison with the study for Dead Christ in the Casa Buonarroti will change this probability into certainty. The advanced aspect may further be accounted for, in part at least, by the softness of the chalk and the rapidity of the stroke. It is by no means uncommon for an artist thus to anticipate some later phase of his own style. Steinmann (II, p. 594) goes so far as to say that the torso was done for the Slave over the Sibylla Delphica. While not excluding the possibility, there yet is a definite pathos here which, to my feeling, would only suit a Dead Christ. Why shouldn't Michelangelo in a moment of listlessness or fatigue or mere leisure during his work on Ceiling have planned to do a Dead Christ, a subject, be it remembered, that preoccupied him through the whole length of his career? In the Ca' d'Oro there is a Dead Christ upheld by two angels in which the Saviour corresponds so well with this torso that one cannot but suppose that the artist, Pordenone as it happens, must have been acquainted with a picture done after this drawing; for he is not so likely to have known the drawing itself.",1484,1484,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,Recto and verso are inverted in BB_1961 and BB_1938 ,
0001498-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1859,0625.569",http://collection.britishmuseum.org/id/object/716094,,,,,,,,1498,1498,614,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Nudo virile, visto da tergo, che s'incammina verso destra ",Torso e coscia sinistra di un nudo semidisteso,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1498,1498,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Male figure, seen from behind, walking away to right. The outlines have been gone over with a stilus, and the rest is somewhat rubbed ",Study for torso and left thigh of the Night in the Sacristy of S. Lorenzo,"This is of the exact quality of my 1548 and 1549. The attitude recalls as well the model for a river god, now in the Academy, discovered since the first publication of this book.",,1498,1498,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
